,Country,Happiness Rank,Happiness Score,Trust (Government Corruption)
152,Afghanistan,153,3.575,0.09719
153,Rwanda,154,3.465,0.55191
154,Benin,155,3.34,0.0801
155,Syria,156,3.006,0.18906
156,Burundi,157,2.905,0.10062
