,Country,Happiness Rank,Happiness Score,Trust (Government Corruption)
151,Yemen,152,3.355,0.064
152,Tanzania,153,3.303,0.097
153,South Sudan,154,3.254,0.106
154,Central African Republic,155,3.083,0.038
155,Burundi,156,2.905,0.076
