,Country,Happiness Rank,Happiness Score,Trust (Government Corruption)
151,Rwanda,152,3.334,0.411
152,Tanzania,153,3.231,0.147
153,Afghanistan,154,3.203,0.025
154,Central African Republic,155,3.083,0.035
155,South Sudan,156,2.853,0.091
