,Country,Happiness Rank,Happiness Score,Trust (Government Corruption)
152,Benin,153,3.484,0.06681
153,Afghanistan,154,3.36,0.07112
154,Togo,155,3.303,0.11587
155,Syria,156,3.069,0.17233
156,Burundi,157,2.905,0.09419
